iter	Logloss
790	0.6857811332
791	0.685779301
792	0.6857763873
793	0.6857731625
794	0.685771146
795	0.6857683296
796	0.6857653564
797	0.6857623545
798	0.6857591298
799	0.6857568375
800	0.6857539322
801	0.6857517575
802	0.6857483764
803	0.6857464772
804	0.6857451547
805	0.6857435106
806	0.6857413749
807	0.6857390529
808	0.6857363098
809	0.6857348552
810	0.6857311568
811	0.6857288277
812	0.6857265768
813	0.685724092
814	0.6857210127
815	0.6857185892
816	0.6857153285
817	0.6857122356
818	0.6857091606
819	0.6857074503
820	0.6857043327
821	0.6857023716
822	0.6856998819
823	0.6856976038
824	0.685694716
825	0.6856915716
826	0.6856891277
827	0.685686183
828	0.68568302
829	0.6856795031
830	0.6856768301
831	0.6856744229
832	0.6856716858
833	0.6856697208
834	0.6856666297
835	0.6856636044
836	0.6856610716
837	0.6856599031
838	0.6856580916
839	0.6856553289
840	0.6856532676
841	0.6856513327
842	0.6856485285
843	0.6856455686
844	0.6856431471
845	0.6856401633
846	0.6856386829
847	0.6856365341
848	0.6856340826
849	0.6856311745
850	0.6856286461
851	0.6856269428
852	0.6856248438
853	0.6856220749
854	0.6856190658
855	0.6856166686
856	0.685613005
857	0.6856097678
858	0.6856074314
859	0.6856054267
860	0.685602925
861	0.6856000384
862	0.6855968153
863	0.6855944217
