iter	Passed	Remaining
379	79667	968588
380	79935	969086
381	80223	969817
382	80458	969913
383	80672	969752
384	80901	969765
385	81137	969867
386	81402	970308
387	81609	970057
388	81832	969995
389	82054	969930
390	82276	969849
391	82587	970822
392	82802	970668
393	83032	970677
394	83318	971350
395	83583	971760
396	83836	972040
397	84119	972658
398	84375	972965
399	84644	973410
400	84920	973936
401	85221	974749
402	85464	974892
403	85713	975096
404	85984	975554
405	86259	976050
406	86551	976735
407	86839	977369
408	87148	978237
409	87418	978662
410	87667	978841
411	87972	979658
412	88207	979677
413	88476	980076
414	88690	979874
415	88988	980580
416	89248	980877
417	89484	980909
418	89729	981027
419	89959	980982
420	90203	981096
421	90455	981293
422	90729	981718
423	90986	981962
424	91256	982345
425	91511	982569
426	91744	982542
427	92011	982892
428	92231	982728
429	92503	983113
430	92836	984150
431	93073	984166
432	93360	984707
433	93719	985999
434	94126	987784
435	94425	988434
436	94763	989484
437	95184	991395
438	95484	992040
439	95845	993309
440	96139	993878
441	96415	994257
442	96646	994176
443	96936	994686
444	97166	994593
445	97430	994838
446	97698	995129
447	98003	995790
448	98296	996318
449	98539	996348
450	98808	996624
451	99098	997118
452	99351	997244
453	99586	997176
454	99863	997534
455	100089	997383
456	100316	997241
457	100590	997558
458	100920	998426
459	101177	998577
460	101514	999511
461	101741	999359
462	102044	999951
463	102319	1000263
464	102556	1000199
465	102826	1000465
466	103089	1000656
467	103330	1000627
468	103569	1000580
469	103847	1000913
470	104083	1000833
471	104273	1000323
472	104513	1000282
473	104762	1000323
474	105027	1000522
475	105258	1000394
476	105496	1000335
477	105756	1000480
478	106005	1000519
479	106302	1001012
480	106523	1000792
481	106755	1000663
482	107008	1000737
483	107276	1000949
484	107512	1000860
485	107729	1000594
486	107948	1000349
487	108169	1000128
488	108473	1000664
489	108739	1000843
490	108984	1000841
491	109267	1001170
492	109540	1001420
493	109836	1001872
494	110052	1001588
495	110293	1001540
496	110518	1001339
497	110791	1001569
498	111058	1001748
499	111306	1001756
500	111559	1001806
501	111780	1001571
502	112055	1001820
503	112329	1002047
504	112605	1002304
505	112836	1002146
506	113080	1002110
507	113320	1002039
508	113577	1002113
509	113790	1001803
510	114053	1001932
511	114296	1001884
512	114603	1002389
513	114836	1002251
514	115070	1002120
515	115295	1001909
516	115584	1002253
517	115821	1002149
518	116046	1001931
519	116257	1001606
520	116521	1001727
521	116744	1001497
522	116982	1001400
523	117240	1001467
524	117519	1001710
525	117759	1001626
526	117997	1001521
527	118270	1001714
528	118483	1001396
529	118710	1001199
530	118936	1000991
531	119168	1000840
532	119399	1000671
533	119624	1000456
534	119875	1000453
535	120114	1000353
536	120381	1000490
537	120619	1000381
538	120853	1000237
539	121061	999874
540	121272	999542
541	121534	999631
542	121778	999569
543	122025	999533
544	122287	999613
545	122504	999328
546	122747	999260
547	122931	998703
548	123155	998476
549	123412	998517
550	123661	998495
551	123954	998822
552	124200	998769
553	124513	999252
554	124744	999081
555	125004	999137
556	125239	998992
557	125509	999127
558	125779	999258
559	126060	999479
560	126347	999745
561	126620	999895
562	126872	999879
563	127126	999884
564	127365	999763
565	127609	999679
566	127833	999446
567	128101	999554
568	128316	999245
569	128573	999264
570	128813	999152
571	129050	999011
572	129276	998792
573	129544	998892
574	129818	999037
575	130066	998986
576	130289	998737
577	130521	998555
578	130774	998538
579	130995	998278
580	131167	997638
581	131401	997475
582	131674	997605
583	131927	997585
584	132173	997514
585	132437	997574
586	132685	997512
587	132961	997662
588	133212	997626
589	133480	997707
590	133781	998044
591	134032	997999
592	134304	998109
593	134598	998384
594	134838	998256
595	135087	998199
596	135323	998042
597	135556	997859
598	135785	997647
599	136035	997591
600	136282	997514
601	136503	997249
602	136765	997273
603	136988	997020
604	137264	997155
605	137462	996719
606	137727	996766
607	137991	996809
608	138207	996501
609	138449	996381
610	138653	995991
611	138918	996035
612	139172	996003
613	139389	995704
614	139660	995790
615	139892	995598
616	140191	995879
617	140411	995607
618	140649	995452
619	140896	995362
620	141114	995071
621	141341	994840
622	141588	994758
623	141836	994676
624	142107	994751
625	142341	994572
626	142562	994299
627	142784	994032
628	143024	993893
629	143253	993676
630	143489	993508
631	143701	993180
632	143945	993065
633	144149	992675
634	144371	992410
635	144606	992235
636	144843	992076
637	145098	992040
638	145308	991687
639	145534	991456
640	145768	991274
641	146024	991234
642	146317	991451
643	146564	991355
644	146806	991230
645	147043	991067
646	147257	990744
647	147470	990420
648	147716	990314
649	147955	990163
650	148272	990531
651	148538	990562
652	148795	990529
653	149060	990548
654	149323	990551
655	149524	990142
656	149772	990049
657	149999	989813
658	150240	989670
659	150540	989915
660	150844	990187
661	151098	990127
662	151354	990081
663	151607	990012
664	151838	989801
665	152067	989582
666	152306	989419
667	152549	989285
668	152788	989128
669	153050	989117
670	153327	989203
671	153601	989264
672	153896	989464
673	154122	989220
674	154303	988688
675	154548	988563
676	154768	988277
677	154996	988043
678	155228	987839
679	155496	987861
680	155740	987731
